,犯第二次以上,是否為自用車,是否以車子維生(例:送貨卡車、計程車),營利與否,民眾舉證辯護,,win_loss
"臺北高等行政法院,100,訴,1328,20111215,2.txt",0,0,0,1,0,,loss
"臺北高等行政法院,100,訴,1537,20120308,1.txt",0,0,0,1,0,,loss
"臺北高等行政法院,100,訴,2110,20120510,1.txt",0,0,0,1,0,,loss
"臺北高等行政法院,100,訴,2118,20120315,1.txt",0,0,0,1,0,,loss
"臺北高等行政法院,100,訴,55,20120223,1.txt",0,0,1,0,0,,loss
"臺北高等行政法院,102,訴,1588,20140326,1.txt",0,1,1,1,0,,loss
"臺北高等行政法院,102,訴,1806,20140424,1.txt",0,1,1,1,0,,win
"臺北高等行政法院,102,訴,1816,20140227,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,102,訴,1891,20140402,1.txt",0,0,0,1,1,,win
"臺北高等行政法院,103,訴,1296,20150205,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,103,訴,1612,20150312,2.txt",0,1,0,1,0,,loss
"臺北高等行政法院,103,訴,1613,20150122,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,103,訴,1614,20150122,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,103,訴,1615,20150120,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,103,訴,1690,20150205,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,103,訴,381,20140814,1.txt",0,0,0,1,0,,loss
"臺北高等行政法院,103,訴,769,20141023,1.txt",0,1,0,1,0,,loss
"臺北高等行政法院,104,交上,168,20151119,1.txt",0,0,0,0,1,,loss
"臺北高等行政法院,104,訴,1011,20160616,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,104,訴,1022,20160107,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,104,訴,1219,20160616,1.txt",1,1,0,1,1,,win
"臺北高等行政法院,104,訴,1221,20160107,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,104,訴,1222,20160519,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,104,訴,1226,20160630,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,104,訴,1241,20160602,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,104,訴,1243,20160225,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,104,訴,1252,20160803,2.txt",1,1,0,1,1,,win
"臺北高等行政法院,104,訴,1254,20160107,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,104,訴,1264,20160901,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,104,訴,1363,20151222,1.txt",1,1,0,1,1,,loss
"臺北高等行政法院,104,訴,1391,20160504,1.txt",1,1,0,1,0,,win
"臺北高等行政法院,104,訴,1395,20160517,1.txt",1,1,0,1,0,,loss
"臺北高等行政法院,104,訴,1396,20160107,1.txt",1,1,0,1,1,,win
